Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
1,31.5,3,0,0,0.4808,124968.01,124968.01
1,31.5,2,1,0,0.4808,124936.01,124936.01
1,31.5,2,2,0,0.4808,124904.02,124904.02
1,31.5,2,3,0,0.4808,124872.02,124872.02
1,31.5,2,4,0,0.4808,124840.03,124840.03
1,31.5,2,5,0,0.4808,124808.03,124808.03
1,31.5,2,6,0,0.4808,124776.04,124776.04
1,31.5,2,7,0,0.4808,124744.04,124744.04
1,31.5,2,8,0,0.4808,124712.05,124712.05
1,31.5,2,9,0,0.4808,124680.05,124680.05
1,32.5,2,10,0,0.4619,124471.63,122179.0
1,32.5,2,11,0,0.4619,124439.64,122147.01
1,32.5,2,12,0,0.4619,124407.64,122115.01
1,32.5,2,13,0,0.4619,124375.65,122083.02
1,32.5,2,14,0,0.4619,124343.65,122051.03
1,32.5,2,15,0,0.4619,124311.66,122019.03
1,32.5,2,16,0,0.4619,124279.67,121987.04
1,32.5,2,17,0,0.4619,124247.67,121955.04
1,32.5,2,18,0,0.4619,124215.68,121923.05
1,32.5,2,19,0,0.4619,124183.68,121891.05
1,32.0,2,20,0,0.4619,123975.26,121891.05
1,32.0,3,21,0,0.4619,123943.27,121859.06
1,32.0,2,22,0,0.4619,123911.27,121827.06
1,32.0,2,23,0,0.4619,123879.28,121795.07
1,32.0,2,24,0,0.4619,123847.28,121763.07
1,32.0,2,25,0,0.4619,123815.29,121731.08
1,32.0,2,26,0,0.4619,123783.29,121699.09
1,32.0,2,27,0,0.4619,123751.3,121667.09
1,32.0,3,28,0,0.4619,123719.3,121635.1
1,32.0,2,29,0,0.4619,123687.31,121603.1
1,50.0,2,30,0,0.4543,123478.89,121603.1
2,32.5,5,0,0,0.1818,124968.01,124968.01
2,32.5,6,1,0,0.1818,124936.01,124936.01
2,32.5,5,2,0,0.1818,124904.02,124904.02
2,32.5,6,3,0,0.1818,124872.02,124872.02
2,32.5,5,4,0,0.1818,124840.03,124840.03
2,32.5,5,5,0,0.1818,124808.03,124808.03
2,32.5,5,6,0,0.1818,124776.04,124776.04
2,32.5,5,7,0,0.1818,124744.04,124744.04
2,32.5,5,8,0,0.1818,124712.05,124712.05
2,32.5,5,9,0,0.1818,124680.05,124680.05
2,34.5,5,10,0,0.1717,124471.63,122179.0
2,34.5,5,11,0,0.1717,124439.64,122147.01
2,34.5,5,12,0,0.1717,124407.64,122115.01
2,34.5,5,13,0,0.1717,124375.65,122083.02
2,34.5,5,14,0,0.1717,124343.65,122051.03
2,34.5,5,15,0,0.1717,124311.66,122019.03
2,34.5,5,16,0,0.1717,124279.67,121987.04
2,34.5,5,17,0,0.1717,124247.67,121955.04
2,34.5,5,18,0,0.1717,124215.68,121923.05
2,34.5,6,19,0,0.1717,124183.68,121891.05
2,36.0,5,20,0,0.1717,124113.8,121891.05
2,36.0,6,21,0,0.1717,124081.81,121859.06
2,36.0,5,22,0,0.1717,124049.81,121827.06
2,36.0,5,23,0,0.1717,124017.82,121795.07
2,36.0,6,24,0,0.1717,123985.82,121763.07
2,36.0,5,25,0,0.1717,123953.83,121731.08
2,36.0,5,26,0,0.1717,123921.83,121699.09
2,36.0,5,27,0,0.1717,123889.84,121667.09
2,36.0,5,28,0,0.1717,123857.85,121635.1
2,36.0,5,29,0,0.1717,123825.85,121603.1
2,36.0,5,30,0,0.1717,123755.97,121603.1
3,54.50000000000001,2,0,0,0.3455,124968.01,124968.01
3,54.50000000000001,2,1,0,0.3455,124936.01,124936.01
3,54.50000000000001,2,2,0,0.3455,124904.02,124904.02
3,54.50000000000001,3,3,0,0.3455,124872.02,124872.02
3,54.50000000000001,2,4,0,0.3455,124840.03,124840.03
3,54.50000000000001,2,5,0,0.3455,124808.03,124808.03
3,54.50000000000001,2,6,0,0.3455,124776.04,124776.04
3,54.50000000000001,2,7,0,0.3455,124744.04,124744.04
3,54.50000000000001,3,8,0,0.3455,124712.05,124712.05
3,54.50000000000001,3,9,0,0.3455,124680.05,124680.05
3,48.5,3,10,0,0.25,124471.63,122179.0
3,48.5,3,11,0,0.25,124439.64,122147.01
3,48.5,3,12,0,0.25,124407.64,122115.01
3,48.5,3,13,0,0.25,124375.65,122083.02
3,48.5,3,14,0,0.25,124343.65,122051.03
3,48.5,3,15,0,0.25,124311.66,122019.03
3,48.5,4,16,0,0.25,124279.67,121987.04
3,48.5,3,17,0,0.25,124247.67,121955.04
3,48.5,3,18,0,0.25,124215.68,121923.05
3,48.5,3,19,0,0.25,124183.68,121891.05
3,44.5,4,20,0,0.25,123975.26,121891.05
3,44.5,3,21,0,0.25,123943.27,121859.06
3,44.5,3,22,0,0.25,123911.27,121827.06
3,44.5,3,23,0,0.25,123879.28,121795.07
