Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
38,31.5,4,0,0,0.1806,124968.01,124968.01
38,31.5,5,1,0,0.1806,124936.01,124936.01
38,31.5,4,2,0,0.1806,124904.02,124904.02
38,31.5,4,3,0,0.1806,124872.02,124872.02
38,31.5,4,4,0,0.1806,124840.03,124840.03
38,31.5,5,5,0,0.1806,124808.03,124808.03
38,31.5,4,6,0,0.1806,124776.04,124776.04
38,31.5,4,7,0,0.1806,124744.04,124744.04
38,31.5,5,8,0,0.1806,124712.05,124712.05
38,31.5,4,9,0,0.1806,124680.05,124680.05
38,34.0,4,10,0,0.1806,124584.08,123528.31
38,34.0,4,11,0,0.1806,124552.08,123496.31
38,34.0,5,12,0,0.1806,124520.09,123464.32
38,34.0,4,13,0,0.1806,124488.09,123432.32
38,34.0,5,14,0,0.1806,124456.1,123400.33
38,34.0,4,15,0,0.1806,124424.1,123368.34
38,34.0,5,16,0,0.1806,124392.11,123336.34
38,34.0,4,17,0,0.1806,124360.11,123304.35
38,34.0,4,18,0,0.1806,124328.12,123272.35
38,34.0,4,19,0,0.1806,124296.12,123240.36
38,28.999999999999996,4,20,0,0.1806,124226.24,123240.36
38,28.999999999999996,4,21,0,0.1806,124194.25,123208.36
38,28.999999999999996,4,22,0,0.1806,124162.26,123176.37
38,28.999999999999996,4,23,0,0.1806,124130.26,123144.37
38,28.999999999999996,4,24,0,0.1806,124098.27,123112.38
38,28.999999999999996,5,25,0,0.1806,124066.27,123080.38
38,28.999999999999996,5,26,0,0.1806,124034.28,123048.39
38,28.999999999999996,4,27,0,0.1806,124002.28,123016.39
38,28.999999999999996,5,28,0,0.1806,123970.29,122984.4
38,28.999999999999996,4,29,0,0.1806,123938.29,122952.41
38,28.999999999999996,4,30,0,0.1806,123935.63,122952.41
