iteration,timestamp,no_of_UAV,no_of_Fail_UAV,Coverage,network_efficiency,num_components
0,0,5,0,20.5,1,2
0,1,5,0,25,0.25,3
0,2,5,0,20,0.1,4
0,3,5,0,20.5,0.6417,1
0,4,5,0,18,0.2,3
0,5,5,0,22,0.4333,2
0,6,6,0,25.5,0.4444,2
0,7,6,0,21,0.4,2
0,8,6,0,21,0.5333,2
0,9,6,0,15,0.7556,1
0,10,6,0,21.5,0.6056,1
0,11,7,0,25.5,0.1429,4
0,12,7,0,22.5,0.0952,5
0,13,7,0,24,0.4286,2
0,14,7,0,28.5,0.381,2
0,15,7,0,23.5,0.2619,3
0,16,8,0,34.5,0.1071,5
0,17,8,0,28.5,0.5875,1
0,18,8,0,29.5,0.3661,3
0,19,8,0,28.5,0.2679,3
0,20,8,0,27.5,0.2143,4
0,21,9,0,39.5,0.2986,3
0,22,9,0,28.5,0.2269,4
0,23,9,0,33.5,0.1806,4
0,24,9,0,27.5,0.2639,5
0,25,9,0,33.5,0.2222,4
0,26,10,0,34.5,0.3444,3
0,27,10,0,34,0.4074,2
0,28,10,0,31.5,0.343,3
0,29,10,0,34.5,0.527,1
0,30,10,0,31.5,0.5,2
0,31,11,0,38.5,0.4909,2
0,32,11,0,32,0.2788,4
0,33,11,0,38.5,0.4497,2
0,34,11,0,36,0.3655,3
0,35,11,0,34,0.5197,2
0,36,12,0,41.5,0.3722,3
0,37,12,0,36,0.4407,2
0,38,12,0,34.5,0.5944,1
0,39,12,0,32.5,0.5101,2
0,40,12,0,43,0.4505,2
0,41,13,0,40.5,0.5994,1
0,42,13,0,43,0.4628,2
0,43,13,0,41.5,0.3245,2
0,44,13,0,35.5,0.5752,1
0,45,13,0,40.5,0.3453,2
1,0,5,0,16,1,3
1,1,5,0,22,0.1,4
1,2,5,0,20.5,0.25,3
1,3,5,0,20,0.7167,1
1,4,5,0,19,0.5,2
1,5,5,0,19.5,0.1,4
1,6,6,0,25,0.3333,2
1,7,6,0,24.5,0.65,1
1,8,6,0,22,0.5222,2
1,9,6,0,22.5,0.58,1
1,10,6,0,23,0.2333,3
1,11,7,0,31,0.3571,2
1,12,7,0,20.5,0.381,2
1,13,7,0,30.5,0.1667,4
1,14,7,0,29,0.2857,3
1,15,7,0,29.5,0.6087,1
1,16,8,0,32,0.3988,3
1,17,8,0,27,0.3571,3
1,18,8,0,27,0.381,3
1,19,8,0,34.5,0.2292,4
1,20,8,0,28.5,0.5708,1
1,21,9,0,32,0.4884,2
1,22,9,0,29,0.3519,3
1,23,9,0,35,0.6991,1
1,24,9,0,32.5,0.2986,3
1,25,9,0,40,0.5505,1
1,26,10,0,34,0.3278,2
1,27,10,0,33.5,0.4411,2
1,28,10,0,34,0.4289,2
1,29,10,0,32,0.25,4
1,30,10,0,32,0.3111,5
1,31,11,0,36.5,0.533,1
1,32,11,0,45,0.4582,2
1,33,11,0,36.5,0.2576,4
1,34,11,0,36.5,0.6303,1
1,35,11,0,43,0.5312,1
1,36,12,0,38,0.5134,1
1,37,12,0,43,0.5712,1
1,38,12,0,46,0.5795,1
1,39,12,0,36.5,0.5285,1
1,40,12,0,45,0.4379,2
1,41,13,0,38,0.5043,2
1,42,13,0,41.5,0.6111,1
1,43,13,0,37,0.406,3
1,44,13,0,42.5,0.5408,1
1,45,13,0,46.5,0.5145,1
2,0,5,0,14.5,1,1
2,1,5,0,19,0.4333,2
2,2,5,0,22,0.25,3
2,3,5,0,15.5,0.4333,2
2,4,5,0,22,0.1,4
2,5,5,0,19.5,0.4333,2
2,6,6,0,26.5,0.4,2
2,7,6,0,20,0.65,1
2,8,6,0,26,0.4889,2
2,9,6,0,18,0.5667,2
2,10,6,0,22,0.5667,2
2,11,7,0,27,0.3532,2
2,12,7,0,23,0.1905,4
2,13,7,0,24.5,0.6087,1
2,14,7,0,23.5,0.6508,1
2,15,7,0,25,0.5317,2
2,16,8,0,28.5,0.4524,2
2,17,8,0,31,0.3839,2
2,18,7,1,24.5,0.4524,2
2,19,7,1,24,0.4048,3
2,20,7,1,25.5,0.4286,2
2,21,8,1,29.5,0.3214,3
2,22,8,1,32,0.2262,3
2,23,8,1,33,0.2917,3
2,24,8,1,26.5,0.4387,2
2,25,8,1,25.5,0.6518,1
2,26,9,1,31.5,0.4315,2
2,27,9,1,30,0.5694,2
2,28,9,1,30.5,0.3565,3
2,29,9,1,36.5,0.125,5
2,30,9,1,33.5,0.2315,4
2,31,10,1,31.5,0.2537,4
2,32,10,1,40.5,0.2444,3
2,33,10,1,31.5,0.4926,2
2,34,10,1,35,0.5741,2
2,35,10,1,35.5,0.287,3
2,36,11,1,38.5,0.5106,2
2,37,11,1,39.5,0.4242,2
2,38,11,1,31.5,0.4061,2
2,39,11,1,37,0.5585,1
2,40,11,1,28,0.4227,2
2,41,12,1,39,0.6212,1
2,42,12,1,33.5,0.3914,3
2,43,12,1,40,0.4899,2
2,44,12,1,36,0.4639,2
2,45,12,1,36.5,0.6641,1
3,0,5,0,17,1,3
3,1,5,0,21.5,0.4333,2
3,2,5,0,25.5,0,5
3,3,5,0,18,0.7833,1
3,4,5,0,14.5,0.1,4
3,5,5,0,23,0,5
3,6,6,0,21,0.2,4
3,7,6,0,18.5,0.8667,1
3,8,6,0,25.5,0.2889,3
3,9,6,0,23,0.5333,2
3,10,6,0,23.5,0.2,4
3,11,7,0,27,0.5635,2
3,12,7,0,27,0.1905,4
3,13,7,0,29,0.6389,1
3,14,7,0,28.5,0.3492,3
3,15,7,0,24.5,0.0952,5
3,16,8,0,28,0.3869,2
3,17,8,0,28,0.2321,4
3,18,8,0,33,0.2292,4
3,19,8,0,35,0.1905,4
3,20,8,0,28,0.2619,3
3,21,9,0,41.5,0.3963,2
3,22,9,0,35,0.1667,5
3,23,9,0,37,0.2986,3
