iteration,timestamp,no_of_UAV,no_of_Fail_UAV,Coverage,network_efficiency,num_components
0,0,5,0,4.5,1,1
0,1,5,0,47,0.7333,1
0,2,5,0,49,0.9,1
0,3,5,0,46.5,0.7333,1
0,4,5,0,53.5,0.4333,2
0,5,5,0,49.5,0.9,1
0,6,6,0,56.5,1,1
0,7,6,0,62,0.9,1
0,8,6,0,63,0.9333,1
0,9,6,0,55.5,0.8333,1
0,10,6,0,61.5,0.7111,1
0,11,7,0,78,0.7381,1
0,12,7,0,63.5,0.7698,1
0,13,7,0,71.5,0.8333,1
0,14,7,0,72,0.8333,1
0,15,7,0,3.5,0.4048,2
0,16,8,0,25,0.5536,2
0,17,8,0,26.5,0.7113,1
0,18,8,0,41,0.6577,1
0,19,8,0,31,0.7143,1
0,20,8,0,47.5,0.6845,1
0,21,9,0,51,0.706,1
0,22,9,0,60,0.7454,1
0,23,9,0,60,0.6329,1
0,24,9,0,63,0.4861,2
0,25,9,0,78.5,0.6412,1
0,26,10,0,76,0.6148,2
0,27,10,0,80.5,0.6667,2
0,28,10,0,79,0.7074,1
0,29,10,0,85.5,0.763,1
0,30,10,0,45,0.4537,2
0,31,11,0,55,0.5152,2
0,32,11,0,71,0.6848,1
0,33,11,0,78,0.5091,2
0,34,11,0,81.5,0.6758,1
0,35,11,0,87,0.7242,1
0,36,12,0,79.5,0.7551,1
0,37,12,0,88.5,0.7828,1
0,38,12,0,88.5,0.7247,1
0,39,12,0,97,0.7323,1
0,40,12,0,82,0.6818,1
0,41,13,0,95.5,0.6987,1
0,42,13,0,95.5,0.75,1
0,43,13,0,93.5,0.688,1
0,44,13,0,96,0.7158,1
0,45,13,0,33.5,0.5624,1
1,0,5,0,0.5,1,1
1,1,5,0,26.5,0.4,2
1,2,5,0,35,0.1,4
1,3,5,0,48,0.5,2
1,4,5,0,50,0.4333,2
1,5,5,0,60.5,0.7167,1
1,6,6,0,47.5,0.3333,3
1,7,6,0,44.5,0.4667,2
1,8,6,0,68,0.8333,1
1,9,6,0,53.5,0.8667,1
1,10,6,0,60,0.9333,1
1,11,7,0,69,0.9048,1
1,12,7,0,67,0.8333,1
1,13,7,0,71.5,0.7778,1
1,14,7,0,68,0.881,1
1,15,7,0,2,0.4762,2
1,16,8,0,29,0.5298,2
1,17,8,0,32.5,0.6964,1
1,18,8,0,46,0.6845,1
1,19,8,0,48,0.6696,1
1,20,8,0,43,0.625,2
1,21,9,0,61.5,0.713,1
1,22,9,0,66,0.6412,1
1,23,9,0,57,0.6019,2
1,24,9,0,66.5,0.7037,1
1,25,9,0,64,0.8056,1
1,26,10,0,65.5,0.637,2
1,27,10,0,69.5,0.6148,2
1,28,10,0,64,0.8333,1
1,29,10,0,66.5,0.7481,1
1,30,10,0,42.5,0.5356,1
1,31,11,0,63,0.4409,3
1,32,11,0,65.5,0.4455,3
1,33,11,0,76.5,0.5939,2
1,34,11,0,69.5,0.6061,2
1,35,11,0,65.5,0.6697,1
1,36,12,0,69.5,0.7146,1
1,37,12,0,67,0.6146,1
1,38,12,0,83,0.6553,1
1,39,12,0,76,0.6389,1
1,40,12,0,77,0.6843,1
1,41,13,0,81.5,0.7137,1
