Iteration No,Coverage,No of connected components,Simulation time,No of drone failed,Network efficiency,Avg Energy (J),Min Energy (J)
1,62,3,0,0,0.4808,124968.01,124968.01
1,62,2,1,0,0.4808,124936.01,124936.01
1,58.5,3,2,0,0.4629,124695.6,122402.97
1,58.5,2,3,0,0.4629,124663.6,122370.97
1,58.5,2,4,0,0.4629,124628.94,122338.98
1,58.5,2,5,0,0.4629,124596.95,122306.98
1,61,3,6,0,0.3396,124356.53,122274.99
1,61,3,7,0,0.3396,124324.54,122242.99
1,52.5,4,8,0,0.2475,124084.12,122211
1,52.5,4,9,0,0.2475,124052.13,122179
1,68.5,3,10,0,0.3023,123843.7,119677.95
1,68.5,3,11,0,0.3023,123811.71,119645.96
1,68.5,3,12,0,0.3023,123574.83,117155.37
1,68.5,4,13,0,0.3023,123542.84,117123.38
1,68.5,3,14,0,0.3023,123508.18,117059.39
1,68.5,3,15,0,0.3023,123476.18,117027.4
1,0,3,16,0,0.2525,123235.77,116995.4
1,0,3,17,0,0.2525,123203.77,116963.41
1,0,3,18,0,0.2525,123169.11,116931.41
1,0,3,19,0,0.2525,123137.12,116899.42
1,0,3,20,0,0.2525,122978.34,116899.42
1,0,3,21,0,0.2525,122946.35,116867.42
1,0,2,22,0,0.3394,122705.93,116835.43
1,0,3,23,0,0.3394,122673.94,116803.43
1,0,2,24,0,0.3394,122639.28,116739.44
1,0,2,25,0,0.3394,122607.28,116707.45
1,0,2,26,0,0.3394,122366.87,116675.46
1,0,2,27,0,0.3394,122334.87,116643.46
1,0,2,28,0,0.3394,122233,116611.47
1,0,2,29,0,0.3394,122201,116579.47
1,14.000000000000002,3,30,0,0.3394,122063.91,116579.47
1,14.000000000000002,4,31,0,0.3394,122031.92,116547.48
1,19,4,32,0,0.2904,121791.5,116515.48
1,19,3,33,0,0.2904,121759.51,116483.49
1,19,3,34,0,0.2904,121633.78,116451.49
1,19,3,35,0,0.2904,121601.78,116419.5
1,17,2,36,0,0.3699,121361.37,116387.5
1,17,2,37,0,0.3699,121329.37,116355.51
1,17,2,38,0,0.3699,121088.96,116323.52
1,17,2,39,0,0.3699,121056.96,116291.52
1,13.5,4,40,0,0.2475,120848.54,116291.52
1,13.5,4,41,0,0.2475,120816.55,116259.53
1,14.000000000000002,4,42,0,0.2475,120576.13,116227.53
1,14.000000000000002,4,43,0,0.2475,120544.14,116195.54
1,11.5,4,44,0,0.2475,120375.05,116163.54
1,11.5,4,45,0,0.2475,120343.05,116131.55
2,38.5,4,0,0,0.3005,124968.01,124968.01
2,38.5,4,1,0,0.3005,124936.01,124936.01
2,38.5,4,2,0,0.3005,124901.35,124872.02
2,38.5,4,3,0,0.3005,124869.36,124840.03
2,33.5,3,4,0,0.3295,124628.94,122338.98
2,33.5,3,5,0,0.3295,124596.95,122306.98
2,33.5,3,6,0,0.3295,124495.07,122274.99
2,33.5,3,7,0,0.3295,124463.08,122242.99
2,46.5,2,8,0,0.375,124222.66,122211
2,46.5,2,9,0,0.375,124190.67,122179
2,36,3,10,0,0.3598,123982.25,121340.45
2,36,2,11,0,0.3598,123950.25,121308.46
2,36,3,12,0,0.3598,123709.84,118775.41
2,36,2,13,0,0.3598,123677.84,118743.42
2,35,3,14,0,0.3295,123437.43,118711.42
2,35,4,15,0,0.3295,123405.43,118679.43
2,10.5,3,16,0,0.3295,123303.56,118647.43
2,10.5,3,17,0,0.3295,123271.56,118615.44
2,7.5,5,18,0,0.2273,123031.15,118583.44
2,7.5,4,19,0,0.2273,122999.15,118551.45
2,4.5,4,20,0,0.2197,122790.73,118551.45
2,4.5,4,21,0,0.2197,122758.74,118519.45
2,6.5,5,22,0,0.1591,122518.32,118487.46
2,6.5,5,23,0,0.1591,122486.33,118455.47
2,5.5,5,24,0,0.1591,122451.67,118423.47
2,5.5,5,25,0,0.1591,122419.67,118391.48
2,7.000000000000001,6,26,0,0.1591,122179.26,118359.48
2,7.000000000000001,6,27,0,0.1591,122147.26,118327.49
2,8,5,28,0,0.1591,122112.6,118263.5
2,8,5,29,0,0.1591,122080.61,118231.5
2,44,6,30,0,0.1591,122077.94,118231.5
2,44,5,31,0,0.1591,122045.95,118199.51
2,31.5,4,32,0,0.1818,121805.53,116505.02
2,31.5,4,33,0,0.1818,121773.54,116473.02
2,37,6,34,0,0.1591,121533.12,116441.03
2,37,6,35,0,0.1591,121501.13,116409.03
2,37,5,36,0,0.1591,121466.46,116377.04
2,37,5,37,0,0.1591,121434.47,116345.04
2,40,5,38,0,0.1591,121194.05,116313.05
2,40,5,39,0,0.1591,121162.06,116281.06
2,36.5,5,40,0,0.1591,121024.97,116281.06
2,36.5,5,41,0,0.1591,120992.97,116249.06
2,36.5,5,42,0,0.1591,120958.31,116217.07
2,36.5,5,43,0,0.1591,120926.32,116185.07
2,37,5,44,0,0.1591,120685.9,116153.08
2,37,5,45,0,0.1591,120653.91,116121.08
3,39,4,0,0,0.298,124968.01,124968.01
3,39,4,1,0,0.298,124936.01,124936.01
3,37.5,3,2,0,0.3409,124695.6,122402.97
3,37.5,4,3,0,0.3409,124663.6,122370.97
3,35.5,3,4,0,0.3409,124561.73,122338.98
3,35.5,3,5,0,0.3409,124529.73,122306.98
3,39.5,3,6,0,0.3409,124289.32,122274.99
3,39.5,3,7,0,0.3409,124257.32,122242.99
3,40,4,8,0,0.3409,124222.66,122179
3,40,3,9,0,0.3409,124190.67,122147.01
3,35,4,10,0,0.2045,123982.25,121340.45
3,35,4,11,0,0.2045,123950.25,121308.46
3,40,3,12,0,0.2854,123709.84,118775.41
3,40,3,13,0,0.2854,123677.84,118743.42
3,32,4,14,0,0.2854,123526.73,118711.42
3,32,3,15,0,0.2854,123494.74,118679.43
3,23.5,4,16,0,0.1881,123254.32,116146.38
3,23.5,4,17,0,0.1881,123222.33,116114.39
3,21.5,5,18,0,0.1881,123068.5,116082.39
3,21.5,4,19,0,0.1881,123036.51,116050.4
3,21.5,4,20,0,0.1881,123033.84,116050.4
3,21.5,4,21,0,0.1881,123001.85,116018.4
3,19.5,5,22,0,0.1881,122967.19,115986.41
3,19.5,4,23,0,0.1881,122935.19,115954.42
3,19.5,4,24,0,0.1806,122694.78,115922.42
3,19.5,6,25,0,0.1806,122662.78,115890.43
3,19.5,4,26,0,0.1806,122628.12,115858.43
3,19.5,4,27,0,0.1806,122596.13,115826.44
3,21,4,28,0,0.1806,122494.25,115794.44
3,21,5,29,0,0.1806,122462.26,115762.45
3,21,4,30,0,0.1806,122459.59,115762.45
3,21,5,31,0,0.1806,122427.6,115730.45
3,38.5,4,32,0,0.1806,122325.73,115698.46
3,38.5,4,33,0,0.1806,122293.73,115666.46
3,38.5,5,34,0,0.1806,122259.07,115634.47
3,38.5,4,35,0,0.1806,122227.08,115602.47
3,36,4,36,0,0.1806,122057.99,115570.48
3,36,4,37,0,0.1806,122025.99,115538.49
3,20.5,4,38,0,0.1806,121785.58,115506.49
3,20.5,4,39,0,0.1806,121753.58,115474.5
3,28.499999999999996,4,40,0,0.2475,121545.16,115474.5
3,28.499999999999996,4,41,0,0.2475,121513.17,115442.5
3,28.000000000000004,4,42,0,0.2475,121411.29,115410.51
3,28.000000000000004,5,43,0,0.2475,121379.3,115378.51
3,28.000000000000004,4,44,0,0.2828,121138.88,115346.52
3,28.000000000000004,4,45,0,0.2828,121106.89,115314.52
4,41,4,0,0,0.2682,124968.01,124968.01
4,41,4,1,0,0.2682,124936.01,124936.01
4,37,4,2,0,0.2682,124695.6,122402.97
4,37,5,3,0,0.2682,124663.6,122370.97
4,37.5,4,4,0,0.2682,124561.73,122338.98
4,37.5,4,5,0,0.2682,124529.73,122306.98
4,36,4,6,0,0.2548,124289.32,121436.43
4,36,4,7,0,0.2548,124257.32,121404.44
4,41,4,8,0,0.2803,124016.91,121372.45
4,41,4,9,0,0.2803,123984.91,121340.45
4,41,4,10,0,0.2803,123982.25,121340.45
4,41,4,11,0,0.2803,123950.25,121308.46
4,37,5,12,0,0.1919,123709.84,119613.96
4,37,5,13,0,0.1919,123677.84,119581.97
4,35.5,4,14,0,0.3644,123437.43,119549.98
4,35.5,2,15,0,0.3644,123405.43,119517.98
4,35.5,3,16,0,0.3644,123370.77,119485.99
4,35.5,2,17,0,0.3644,123338.78,119453.99
4,56.49999999999999,6,18,0,0.2795,123098.36,119422
4,56.49999999999999,4,19,0,0.2795,123066.37,119390
4,47.5,3,20,0,0.2955,122857.94,119390
4,47.5,3,21,0,0.2955,122825.95,119358.01
4,47.5,3,22,0,0.2955,122791.29,119326.01
4,47.5,4,23,0,0.2955,122759.29,119294.02
4,54,4,24,0,0.3194,122518.88,119230.03
4,54,4,25,0,0.3194,122486.88,119198.04
4,33.5,3,26,0,0.3056,122246.47,119166.04
4,33.5,3,27,0,0.3056,122214.47,119134.05
4,33.5,4,28,0,0.3056,121974.06,116601
4,33.5,4,29,0,0.3056,121942.06,116569.01
4,21,3,30,0,0.2879,121733.64,116569.01
4,21,4,31,0,0.2879,121701.65,116537.01
4,10,3,32,0,0.2879,121532.56,116505.02
4,10,3,33,0,0.2879,121500.57,116473.02
4,23,4,34,0,0.1894,121260.15,116441.03
4,23,4,35,0,0.1894,121228.16,116409.03
4,23,4,36,0,0.1894,121088.35,116377.04
4,23,4,37,0,0.1894,121056.35,116345.04
4,9.5,5,38,0,0.1894,120815.94,116313.05
4,9.5,4,39,0,0.1894,120783.94,116281.06
4,21.5,4,40,0,0.1894,120575.52,116281.06
4,21.5,5,41,0,0.1894,120543.53,116249.06
4,21.5,5,42,0,0.1894,120508.86,116217.07
4,21.5,5,43,0,0.1894,120476.87,116185.07
4,23.5,4,44,0,0.1894,120307.78,116153.08
4,23.5,5,45,0,0.1894,120275.79,116121.08
5,45,6,0,0,0.1136,124968.01,124968.01
