iteration,timestamp,no_of_UAV,no_of_Fail_UAV,Coverage,network_efficiency,num_components
0,0,5,0,2.5,1.0,1
0,1,5,0,45.5,0.7833,1
0,2,5,0,55.5,0.7333,1
0,3,5,0,63.5,0.7167,1
0,4,5,0,50.0,0.7833,1
0,5,6,0,51.0,0.6,2
0,6,6,0,68.0,0.7889,1
0,7,6,0,60.0,0.5222,2
0,8,6,0,57.0,0.8222,1
0,9,6,0,57.5,0.9333,1
0,10,7,0,58.5,0.6429,2
0,11,7,0,59.0,0.6667,2
0,12,7,0,57.0,0.5635,2
0,13,7,0,58.5,0.7778,1
0,14,7,0,64.5,0.6429,2
0,15,8,0,18.5,0.756,1
0,16,8,0,35.5,0.6071,2
0,17,8,0,28.0,0.494,2
0,18,8,0,46.0,0.5119,2
0,19,8,0,57.0,0.6756,1
0,20,9,0,63.0,0.6019,2
0,21,9,0,81.5,0.5718,1
0,22,9,0,63.5,0.5833,2
0,23,9,0,83.0,0.8333,1
0,24,9,0,76.5,0.7546,1
0,25,10,0,91.5,0.7556,1
0,26,10,0,75.0,0.7778,1
0,27,10,0,75.5,0.8111,1
0,28,10,0,73.5,0.7556,1
0,29,10,0,80.0,0.8037,1
0,30,11,0,40.5,0.5576,2
0,31,11,0,58.5,0.7455,1
0,32,11,0,69.0,0.7485,1
0,33,11,0,79.5,0.6385,1
0,34,11,0,78.0,0.7424,1
0,35,12,0,88.5,0.6679,1
0,36,12,0,86.0,0.702,1
0,37,12,0,88.0,0.7298,1
0,38,12,0,93.0,0.6995,1
0,39,12,0,90.0,0.7601,1
0,40,13,0,97.0,0.7222,1
0,41,13,0,92.0,0.7308,1
0,42,13,0,94.5,0.6966,1
0,43,13,0,84.5,0.6752,1
0,44,13,0,90.0,0.6934,1
0,45,14,0,55.0,0.411,3
0,46,14,0,71.0,0.504,2
0,47,14,0,87.0,0.5405,2
0,48,14,0,77.0,0.5004,2
0,49,14,0,84.0,0.5833,1
0,50,15,0,91.5,0.5802,1
0,51,15,0,90.5,0.596,2
0,52,14,1,90.5,0.6992,1
0,53,12,3,94.0,0.706,1
0,54,12,3,87.5,0.7172,1
0,55,12,4,85.0,0.6004,2
0,56,11,5,87.5,0.6086,2
0,57,11,5,79.5,0.5248,2
0,58,11,5,88.5,0.597,2
0,59,11,5,76.5,0.6667,1
0,60,11,6,57.5,0.6058,1
0,61,11,6,71.5,0.6391,1
0,62,11,6,81.0,0.5879,2
0,63,11,6,76.0,0.7,1
0,64,10,7,81.0,0.7303,1
0,65,11,7,77.5,0.7,1
0,66,11,7,77.5,0.6879,1
0,67,11,7,79.0,0.6455,1
0,68,10,8,74.0,0.603,1
0,69,10,8,50.5,0.5593,2
0,70,11,8,84.5,0.6606,1
0,71,11,8,79.5,0.7091,1
0,72,11,8,90.0,0.7273,1
0,73,10,9,72.5,0.7515,1
0,74,10,9,70.0,0.7556,1
0,75,10,9,68.5,0.6519,2
1,0,5,0,0.5,1.0,1
1,1,5,0,25.5,0.8,1
1,2,5,0,28.0,0.6,2
1,3,5,0,38.0,0.7833,1
1,4,5,0,42.5,0.7167,1
1,5,6,0,55.0,0.3667,3
1,6,6,0,56.0,0.8222,1
1,7,6,0,54.0,0.7556,1
1,8,6,0,58.5,0.7444,1
1,9,6,0,55.5,0.8667,1
1,10,7,0,66.5,0.7857,1
1,11,7,0,61.0,0.7698,1
1,12,7,0,60.0,0.7698,1
1,13,7,0,69.5,0.7381,1
1,14,7,0,65.5,0.8016,1
1,15,8,0,20.5,0.6071,2
1,16,8,0,30.0,0.6577,1
1,17,8,0,50.5,0.4107,2
1,18,8,0,50.0,0.6726,1
1,19,8,0,60.5,0.5119,2
1,20,9,0,60.5,0.75,1
1,21,9,0,64.0,0.7593,1
1,22,9,0,78.0,0.7269,1
1,23,9,0,87.0,0.7685,1
1,24,9,0,72.5,0.7778,1
1,25,10,0,87.5,0.7259,1
1,26,10,0,81.0,0.763,1
1,27,10,0,87.5,0.7444,1
1,28,10,0,88.5,0.6648,1
1,29,10,0,86.0,0.7148,1
1,30,11,0,40.0,0.5724,1
1,31,11,0,57.0,0.5091,2
1,32,11,0,54.5,0.7,1
1,33,11,0,84.5,0.7697,1
1,34,11,0,86.5,0.7515,1
1,35,12,0,84.0,0.678,1
1,36,12,0,81.5,0.7008,1
1,37,12,0,87.0,0.6149,1
1,38,12,0,92.0,0.7652,1
1,39,12,0,88.5,0.6641,1
1,40,13,0,93.5,0.6645,1
1,41,13,0,91.5,0.7115,1
1,42,13,0,89.5,0.7222,1
1,43,13,0,93.0,0.7137,1
1,44,13,0,94.0,0.7265,1
1,45,14,0,26.0,0.4787,2
1,46,14,0,54.0,0.402,3
1,47,14,0,82.5,0.5855,1
1,48,14,0,92.0,0.6731,1
1,49,14,0,90.0,0.6667,1
1,50,15,0,90.5,0.6698,1
1,51,15,0,87.5,0.6484,1
1,52,15,0,90.5,0.6738,1
1,53,12,3,90.0,0.6254,1
1,54,10,5,82.0,0.5884,2
1,55,11,5,68.0,0.5927,1
1,56,10,6,76.5,0.5409,1
1,57,10,6,76.5,0.5481,2
1,58,10,6,75.0,0.6667,2
1,59,10,6,76.5,0.7556,1
1,60,11,6,72.0,0.6636,1
1,61,11,6,70.0,0.6445,1
1,62,11,6,75.0,0.703,1
1,63,10,7,74.0,0.6848,1
1,64,10,7,56.0,0.6415,1
1,65,11,7,68.0,0.7045,1
1,66,11,7,65.0,0.7303,1
1,67,11,7,69.0,0.6773,1
1,68,11,7,87.5,0.7394,1
1,69,11,7,83.5,0.6591,1
1,70,11,8,85.0,0.5909,2
1,71,10,9,86.0,0.7424,1
1,72,10,9,75.5,0.7111,1
1,73,10,9,79.0,0.7259,1
1,74,10,9,81.0,0.7815,1
1,75,10,9,60.5,0.5763,1
2,0,5,0,0.0,1.0,1
2,1,5,0,41.0,0.95,1
2,2,5,0,60.5,0.85,1
2,3,5,0,62.0,0.95,1
2,4,5,0,55.5,0.9,1
2,5,6,0,62.5,0.6,2
2,6,6,0,62.0,0.5667,2
2,7,6,0,64.0,0.8667,1
2,8,6,0,72.0,0.8,1
2,9,6,0,54.0,0.8667,1
2,10,7,0,70.5,0.8571,1
2,11,7,0,76.0,0.7857,1
2,12,7,0,73.0,0.8095,1
2,13,7,0,62.5,0.9524,1
2,14,7,0,66.0,0.7778,1
2,15,8,0,4.0,0.5952,2
2,16,8,0,15.0,0.5357,2
2,17,8,0,38.0,0.3929,2
2,18,8,0,40.0,0.2976,3
2,19,7,1,47.0,0.373,3
2,20,8,1,55.0,0.5536,2
2,21,8,1,50.0,0.5595,2
2,22,8,1,71.0,0.5119,2
2,23,8,1,69.5,0.6071,2
2,24,8,1,75.0,0.6071,2
2,25,9,1,80.0,0.7639,1
2,26,9,1,83.5,0.6551,1
2,27,9,1,86.5,0.787,1
2,28,9,1,69.0,0.8056,1
2,29,9,1,72.5,0.4907,2
2,30,10,1,37.0,0.663,1
2,31,10,1,63.5,0.4111,2
2,32,10,1,59.5,0.4259,2
2,33,10,1,74.0,0.7111,1
2,34,10,1,68.5,0.6389,1
2,35,11,1,83.0,0.7818,1
2,36,11,1,86.0,0.6379,1
2,37,11,1,92.5,0.7333,1
2,38,11,1,90.5,0.7455,1
2,39,11,1,87.5,0.7394,1
2,40,12,1,94.0,0.7601,1
2,41,12,1,88.0,0.7045,1
2,42,12,1,96.5,0.7323,1
2,43,12,1,84.5,0.6672,1
2,44,12,1,82.5,0.6894,1
2,45,13,1,34.0,0.4449,2
2,46,13,1,64.0,0.5459,1
2,47,13,1,79.0,0.547,2
2,48,13,1,81.0,0.6303,1
2,49,13,1,78.5,0.6036,1
2,50,14,1,91.0,0.6648,1
2,51,13,2,84.5,0.6667,1
2,52,13,2,87.5,0.6987,1
2,53,11,4,82.5,0.6784,1
2,54,11,4,79.0,0.7242,1
2,55,10,6,84.0,0.702,1
2,56,10,6,80.0,0.6963,1
2,57,10,6,83.0,0.7444,1
2,58,10,6,78.0,0.6556,1
2,59,10,6,79.5,0.7222,1
2,60,11,6,54.0,0.4739,2
2,61,11,6,73.5,0.4879,2
2,62,11,6,70.0,0.597,2
2,63,10,7,84.0,0.5061,3
2,64,10,7,57.0,0.5778,3
2,65,11,7,77.0,0.6909,1
2,66,11,7,85.0,0.7061,1
2,67,11,7,85.5,0.6061,2
2,68,11,7,84.0,0.6894,1
2,69,11,7,84.5,0.6182,1
2,70,12,7,82.0,0.7146,1
2,71,11,8,78.0,0.6427,1
2,72,10,9,85.0,0.703,1
2,73,10,9,84.0,0.7741,1
2,74,10,9,89.0,0.6722,1
2,75,10,9,89.0,0.7111,1
3,0,5,0,25.0,1.0,3
3,1,5,0,51.0,0.8,1
3,2,5,0,63.0,0.7167,1
3,3,5,0,62.5,0.85,1
3,4,5,0,55.0,0.9,1
3,5,6,0,69.5,0.8667,1
3,6,6,0,61.0,0.8667,1
3,7,6,0,57.0,0.7667,1
3,8,6,0,60.5,0.8333,1
3,9,6,0,63.0,0.4,2
3,10,7,0,61.5,0.5238,2
3,11,7,0,58.5,0.4762,2
3,12,7,0,65.0,0.619,2
3,13,7,0,62.0,0.7222,1
3,14,7,0,72.5,0.8571,1
3,15,8,0,2.5,0.5738,1
3,16,8,0,25.5,0.2857,3
3,17,8,0,29.5,0.5446,2
3,18,8,0,45.0,0.4167,2
3,19,8,0,54.0,0.6488,1
3,20,9,0,62.5,0.7037,1
3,21,9,0,52.0,0.6111,2
3,22,9,0,77.5,0.7384,1
3,23,9,0,67.5,0.5069,2
3,24,9,0,68.0,0.7361,1
3,25,10,0,77.5,0.6259,2
3,26,10,0,72.5,0.7481,1
3,27,10,0,79.5,0.6259,2
3,28,10,0,77.0,0.7111,1
3,29,10,0,79.0,0.7593,1
3,30,11,0,37.0,0.553,2
3,31,11,0,68.5,0.7242,1
3,32,11,0,70.5,0.6742,1
3,33,11,0,67.5,0.6818,1
3,34,11,0,70.0,0.7333,1
3,35,12,0,86.5,0.6313,2
3,36,12,0,94.0,0.7273,1
3,37,12,0,83.5,0.7172,1
3,38,12,0,91.5,0.7298,1
3,39,12,0,85.5,0.7399,1
3,40,13,0,95.0,0.7222,1
3,41,13,0,93.0,0.7308,1
3,42,13,0,93.0,0.6838,1
3,43,13,0,86.5,0.7329,1
3,44,13,0,94.5,0.7308,1
3,45,14,0,50.5,0.2912,4
3,46,14,0,58.5,0.5223,1
3,47,14,0,70.0,0.522,2
3,48,14,0,80.0,0.4672,2
3,49,14,0,80.5,0.6502,1
3,50,15,0,79.0,0.6389,1
3,51,13,2,84.0,0.6714,1
3,52,13,2,86.0,0.6838,1
3,53,13,2,85.0,0.6848,1
3,54,11,4,90.0,0.7457,1
3,55,11,5,82.5,0.6881,1
3,56,11,5,80.5,0.6636,1
3,57,11,5,80.5,0.7061,1
3,58,10,6,81.5,0.7593,1
3,59,9,7,86.5,0.7333,1
3,60,10,7,54.0,0.6926,1
3,61,9,8,73.5,0.7222,1
3,62,9,8,55.5,0.75,1
3,63,9,8,57.0,0.7222,1
3,64,9,8,54.0,0.75,1
3,65,10,8,60.0,0.7,1
3,66,10,8,62.0,0.7074,1
3,67,10,8,48.5,0.7148,1
3,68,10,8,81.0,0.7519,1
3,69,10,8,65.5,0.7704,1
3,70,11,8,79.5,0.7121,1
3,71,11,8,74.0,0.7182,1
3,72,11,8,92.0,0.6697,1
3,73,11,8,81.0,0.7424,1
3,74,11,8,80.0,0.7333,1
3,75,11,8,75.0,0.7182,1
4,0,5,0,34.0,1.0,2
4,1,5,0,38.5,0.4333,2
4,2,5,0,43.5,0.7167,1
4,3,5,0,51.0,0.7333,1
4,4,5,0,53.5,0.6667,1
4,5,6,0,56.5,0.8333,1
4,6,6,0,55.0,0.6056,1
4,7,6,0,56.0,0.6833,1
4,8,6,0,63.5,0.4278,2
4,9,6,0,64.5,0.7444,1
4,10,7,0,65.0,0.7778,1
4,11,7,0,64.0,0.7024,1
4,12,7,0,63.0,0.746,1
4,13,7,0,64.0,0.7698,1
4,14,7,0,51.5,0.7778,1
4,15,8,0,6.5,0.1964,4
4,16,8,0,29.0,0.5446,2
4,17,8,0,40.0,0.4464,3
4,18,8,0,54.0,0.4655,2
4,19,8,0,57.0,0.5536,2
4,20,9,0,57.0,0.6157,2
4,21,9,0,65.5,0.6991,1
4,22,9,0,58.0,0.6944,2
4,23,9,0,73.5,0.713,1
4,24,9,0,66.0,0.7361,1
4,25,10,0,67.5,0.7296,1
