iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
0,54,2,ENERGY_DEPLETION,0,0,Yes
0,57,1,ENERGY_DEPLETION,0,0,Yes
0,57,3,ENERGY_DEPLETION,0,0,Yes
0,58,0,ENERGY_DEPLETION,0,0,Yes
0,59,4,ENERGY_DEPLETION,0,5,Yes
0,60,5,ENERGY_DEPLETION,0,0,Yes
0,63,6,ENERGY_DEPLETION,0,0,Yes
0,72,7,ENERGY_DEPLETION,0,0,Yes
0,74,8,ENERGY_DEPLETION,0,0,Yes
1,52,1,ENERGY_DEPLETION,0,0,Yes
1,53,3,ENERGY_DEPLETION,0,0,Yes
1,55,2,ENERGY_DEPLETION,0,0,Yes
1,56,0,ENERGY_DEPLETION,0,0,Yes
1,57,4,ENERGY_DEPLETION,0,0,Yes
1,57,5,ENERGY_DEPLETION,0,0,Yes
1,67,7,ENERGY_DEPLETION,0,0,Yes
1,69,6,ENERGY_DEPLETION,0,0,Yes
1,74,8,ENERGY_DEPLETION,0,0,Yes
2,19,2,STOCHASTIC_FAILURE,86823.33,5,Yes
2,19,2,ENERGY_DEPLETION,0,0,Yes
2,54,1,ENERGY_DEPLETION,0,0,Yes
2,55,0,ENERGY_DEPLETION,0,0,Yes
2,55,3,ENERGY_DEPLETION,0,0,Yes
2,57,4,ENERGY_DEPLETION,0,0,Yes
2,57,5,ENERGY_DEPLETION,0,0,Yes
2,63,6,ENERGY_DEPLETION,0,0,Yes
2,73,8,ENERGY_DEPLETION,0,0,Yes
2,74,7,ENERGY_DEPLETION,0,0,Yes
3,54,1,ENERGY_DEPLETION,0,0,Yes
3,56,2,ENERGY_DEPLETION,0,0,Yes
3,57,12,STOCHASTIC_FAILURE,92701.36,5,Yes
3,57,3,ENERGY_DEPLETION,0,0,Yes
3,57,4,ENERGY_DEPLETION,0,0,Yes
3,57,12,ENERGY_DEPLETION,0,0,Yes
3,58,0,ENERGY_DEPLETION,0,0,Yes
3,59,5,ENERGY_DEPLETION,0,0,Yes
3,65,6,ENERGY_DEPLETION,0,0,Yes
3,70,7,ENERGY_DEPLETION,0,0,Yes
4,55,0,ENERGY_DEPLETION,0,0,Yes
4,56,1,ENERGY_DEPLETION,0,0,Yes
4,56,2,ENERGY_DEPLETION,0,0,Yes
4,56,3,ENERGY_DEPLETION,0,0,Yes
4,56,4,ENERGY_DEPLETION,0,0,Yes
4,64,5,ENERGY_DEPLETION,0,0,Yes
4,65,6,ENERGY_DEPLETION,0,2,Yes
4,66,11,STOCHASTIC_FAILURE,52385.08,5,Yes
4,66,11,ENERGY_DEPLETION,0,0,Yes
4,72,7,ENERGY_DEPLETION,0,3,Yes
4,75,8,ENERGY_DEPLETION,0,0,Yes
5,35,2,STOCHASTIC_FAILURE,41519.58,5,Yes
5,35,2,ENERGY_DEPLETION,0,0,Yes
5,40,5,STOCHASTIC_FAILURE,42518.01,5,Yes
5,40,5,ENERGY_DEPLETION,0,0,Yes
5,53,4,ENERGY_DEPLETION,0,0,Yes
5,54,0,ENERGY_DEPLETION,0,0,Yes
5,54,1,ENERGY_DEPLETION,0,0,Yes
5,55,3,ENERGY_DEPLETION,0,0,Yes
5,65,6,ENERGY_DEPLETION,0,0,Yes
5,71,7,ENERGY_DEPLETION,0,0,Yes
6,12,5,STOCHASTIC_FAILURE,110793.93,5,Yes
6,12,5,ENERGY_DEPLETION,0,0,Yes
6,54,0,ENERGY_DEPLETION,0,0,Yes
6,54,2,ENERGY_DEPLETION,0,0,Yes
6,54,3,ENERGY_DEPLETION,0,6,Yes
6,55,1,ENERGY_DEPLETION,0,0,Yes
6,55,4,ENERGY_DEPLETION,0,0,Yes
6,64,6,ENERGY_DEPLETION,0,0,Yes
6,69,7,ENERGY_DEPLETION,0,0,Yes
7,25,4,STOCHASTIC_FAILURE,71848.38,6,Yes
7,25,4,ENERGY_DEPLETION,0,0,Yes
7,44,10,STOCHASTIC_FAILURE,94507.29,3,Yes
7,44,10,ENERGY_DEPLETION,0,0,Yes
7,54,0,ENERGY_DEPLETION,0,0,Yes
7,56,3,ENERGY_DEPLETION,0,0,Yes
7,57,1,ENERGY_DEPLETION,0,0,Yes
7,57,2,ENERGY_DEPLETION,0,0,Yes
7,61,5,ENERGY_DEPLETION,0,2,Yes
7,62,6,ENERGY_DEPLETION,0,0,Yes
7,69,7,ENERGY_DEPLETION,0,0,Yes
8,53,3,ENERGY_DEPLETION,0,0,Yes
8,55,0,ENERGY_DEPLETION,0,0,Yes
8,55,1,ENERGY_DEPLETION,0,0,Yes
8,57,4,ENERGY_DEPLETION,0,0,Yes
8,58,2,ENERGY_DEPLETION,0,0,Yes
8,61,5,ENERGY_DEPLETION,0,0,Yes
8,65,6,ENERGY_DEPLETION,0,0,Yes
8,69,7,ENERGY_DEPLETION,0,0,Yes
8,74,8,ENERGY_DEPLETION,0,0,Yes
9,54,0,ENERGY_DEPLETION,0,0,Yes
9,54,2,ENERGY_DEPLETION,0,3,Yes
9,54,3,ENERGY_DEPLETION,0,0,Yes
9,55,1,ENERGY_DEPLETION,0,0,Yes
9,55,4,ENERGY_DEPLETION,0,0,Yes
9,61,13,STOCHASTIC_FAILURE,93079.6,7,Yes
9,61,13,ENERGY_DEPLETION,0,0,Yes
9,63,5,ENERGY_DEPLETION,0,0,Yes
9,69,6,ENERGY_DEPLETION,0,0,Yes
9,69,7,ENERGY_DEPLETION,0,6,Yes
