iteration,time_step,coverage_map,score_exchange,component_query,component_response,death_warning,total_messages
0,1,0,10,10,10,0,30
0,2,0,10,0,0,0,10
0,3,0,16,0,0,0,16
0,4,0,10,0,0,0,10
0,5,0,6,0,0,0,6
0,6,0,24,4,4,0,32
0,7,0,30,0,0,0,30
0,8,0,24,0,0,0,24
0,9,0,26,0,0,0,26
0,10,0,20,0,0,0,20
0,11,0,16,1,1,0,18
0,12,0,22,0,0,0,22
0,13,0,24,0,0,0,24
0,14,0,28,0,0,0,28
0,15,0,28,0,0,0,28
0,16,0,16,0,0,0,16
0,17,0,22,0,0,0,22
0,18,0,28,0,0,0,28
0,19,0,24,0,0,0,24
0,20,0,28,0,0,0,28
0,21,0,36,5,5,0,46
0,22,0,34,0,0,0,34
0,23,0,38,0,0,0,38
0,24,0,28,0,0,0,28
0,25,0,20,0,0,0,20
0,26,0,28,0,0,0,28
0,27,0,40,0,0,0,40
0,28,0,48,0,0,0,48
0,29,0,42,0,0,0,42
0,30,0,50,0,0,0,50
0,31,0,30,1,1,0,32
0,32,0,32,0,0,0,32
0,33,0,46,0,0,0,46
0,34,0,40,0,0,0,40
0,35,0,46,0,0,0,46
0,36,0,68,7,7,0,82
0,37,0,70,0,0,0,70
0,38,0,76,0,0,0,76
0,39,0,64,0,0,0,64
0,40,0,64,0,0,0,64
0,41,0,54,0,0,0,54
0,42,0,68,0,0,0,68
0,43,0,80,0,0,0,80
0,44,0,66,0,0,0,66
0,45,0,72,0,0,0,72
0,46,0,50,0,0,0,50
0,47,0,46,0,0,0,46
0,48,0,58,0,0,0,58
0,49,0,50,0,0,0,50
0,50,0,58,0,0,0,58
0,51,0,80,6,6,0,92
0,52,0,76,0,0,0,76
0,53,0,82,0,0,0,82
0,54,0,88,0,0,0,88
0,55,0,68,0,0,0,68
0,56,0,44,3,3,0,50
0,57,0,54,0,0,0,54
0,58,0,56,0,0,0,56
0,59,0,58,0,0,0,58
0,60,0,56,0,0,0,56
0,61,0,54,4,4,0,62
0,62,0,50,0,0,0,50
0,63,0,50,0,0,0,50
0,64,0,50,0,0,0,50
0,65,0,36,0,0,0,36
0,66,0,48,4,4,0,56
0,67,0,50,0,0,0,50
0,68,0,60,0,0,0,60
0,69,0,52,0,0,0,52
0,70,0,50,0,0,0,50
0,71,0,46,3,3,0,52
0,72,0,54,0,0,0,54
0,73,0,52,0,0,0,52
0,74,0,56,0,0,0,56
0,75,0,34,0,0,0,34
1,1,0,16,16,16,0,48
1,2,0,8,0,0,0,8
1,3,0,2,0,0,0,2
1,4,0,8,0,0,0,8
1,5,0,6,0,0,0,6
1,6,0,10,0,0,0,10
1,7,0,8,0,0,0,8
1,8,0,14,0,0,0,14
1,9,0,20,0,0,0,20
1,10,0,22,0,0,0,22
1,11,0,30,2,2,0,34
1,12,0,34,0,0,0,34
1,13,0,28,0,0,0,28
1,14,0,24,0,0,0,24
1,15,0,32,0,0,0,32
1,16,0,12,0,0,0,12
1,17,0,20,0,0,0,20
1,18,0,26,0,0,0,26
1,19,0,24,0,0,0,24
1,20,0,24,0,0,0,24
1,21,0,30,1,1,0,32
1,22,0,34,0,0,0,34
1,23,0,28,0,0,0,28
1,24,0,32,0,0,0,32
1,25,0,32,0,0,0,32
1,26,0,44,0,0,0,44
1,27,0,44,0,0,0,44
1,28,0,40,0,0,0,40
1,29,0,60,0,0,0,60
1,30,0,46,0,0,0,46
1,31,0,28,2,2,0,32
1,32,0,30,0,0,0,30
1,33,0,40,0,0,0,40
1,34,0,44,0,0,0,44
1,35,0,46,0,0,0,46
1,36,0,58,7,7,0,72
1,37,0,62,0,0,0,62
1,38,0,48,0,0,0,48
1,39,0,52,0,0,0,52
1,40,0,50,0,0,0,50
1,41,0,64,3,3,0,70
1,42,0,74,0,0,0,74
1,43,0,78,0,0,0,78
1,44,0,82,0,0,0,82
1,45,0,64,0,0,0,64
1,46,0,56,5,5,0,66
1,47,0,56,0,0,0,56
1,48,0,68,0,0,0,68
1,49,0,64,0,0,0,64
1,50,0,72,0,0,0,72
1,51,0,76,3,3,0,82
1,52,0,72,0,0,0,72
1,53,0,76,0,0,0,76
1,54,0,68,0,0,0,68
1,55,0,60,0,0,0,60
1,56,0,40,0,0,0,40
1,57,0,40,0,0,0,40
1,58,0,34,0,0,0,34
1,59,0,32,0,0,0,32
1,60,0,46,0,0,0,46
1,61,0,40,0,0,0,40
1,62,0,36,0,0,0,36
1,63,0,38,0,0,0,38
1,64,0,48,0,0,0,48
1,65,0,36,0,0,0,36
1,66,0,50,2,2,0,54
1,67,0,46,0,0,0,46
1,68,0,42,0,0,0,42
1,69,0,44,0,0,0,44
1,70,0,42,0,0,0,42
1,71,0,56,1,1,0,58
1,72,0,60,0,0,0,60
1,73,0,62,0,0,0,62
1,74,0,48,0,0,0,48
1,75,0,46,0,0,0,46
